,ID,bed,bath,acre_lot,state,zip_code,house_size,prev_sold_date,price,price_per_sqfoot,month
0,24268,3.0,2.0,0.16,Massachusetts,1002,1280.0,2021-08-19 00:00:00.000000,275000.0,215.0,2021-08
1,25013,4.0,3.0,0.46,Massachusetts,1075,2108.0,2021-09-21 00:00:00.000000,400000.0,190.0,2021-09
2,25062,4.0,1.0,0.91,Massachusetts,1027,1404.0,2021-09-23 00:00:00.000000,349900.0,249.0,2021-09
3,25101,3.0,2.0,0.16,Massachusetts,1002,1280.0,2021-08-19 00:00:00.000000,275000.0,215.0,2021-08
4,25181,4.0,2.0,0.13,Massachusetts,1040,1529.0,2021-03-22 00:00:00.000000,229000.0,150.0,2021-03
5,27821,4.0,3.0,2.34,Connecticut,6238,3320.0,2021-06-01 00:00:00.000000,579900.0,175.0,2021-06
6,27918,3.0,2.0,0.34,Massachusetts,1085,1424.0,2021-11-10 00:00:00.000000,299413.0,210.0,2021-11
7,27994,4.0,1.0,0.91,Massachusetts,1027,1404.0,2021-09-23 00:00:00.000000,349900.0,249.0,2021-09
8,28341,1.0,1.0,5.46,Massachusetts,1026,600.0,2021-05-05 00:00:00.000000,144000.0,240.0,2021-05
9,28573,4.0,3.0,3.35,Connecticut,6063,2626.0,2022-01-04 00:00:00.000000,556000.0,212.0,2022-01
10,28682,3.0,1.0,0.14,Connecticut,6098,1170.0,2021-04-29 00:00:00.000000,279000.0,238.0,2021-04
11,28706,3.0,3.0,6.92,Connecticut,6063,2462.0,2022-01-04 00:00:00.000000,493000.0,200.0,2022-01
12,28712,3.0,1.0,0.06,Connecticut,6082,1209.0,2021-08-05 00:00:00.000000,189900.0,157.0,2021-08
13,28889,1.0,1.0,5.46,Massachusetts,1026,600.0,2021-05-05 00:00:00.000000,144000.0,240.0,2021-05
14,28997,4.0,1.0,0.91,Massachusetts,1027,1404.0,2021-09-23 00:00:00.000000,349900.0,249.0,2021-09
15,29082,3.0,1.0,0.62,Connecticut,6035,1040.0,2021-12-29 00:00:00.000000,250000.0,240.0,2021-12
16,29085,3.0,3.0,2.17,Connecticut,6060,2457.0,2021-04-05 00:00:00.000000,625000.0,254.0,2021-04
17,29097,3.0,3.0,1.0,Connecticut,6082,2010.0,2022-01-06 00:00:00.000000,495000.0,246.0,2022-01
18,29119,4.0,3.0,2.11,Connecticut,6063,2626.0,2022-01-04 00:00:00.000000,569000.0,217.0,2022-01
19,29133,3.0,1.0,0.35,Connecticut,6096,996.0,2021-12-03 00:00:00.000000,269900.0,271.0,2021-12
20,29280,3.0,2.0,0.35,Connecticut,6078,1864.0,2021-12-01 00:00:00.000000,359800.0,193.0,2021-12
21,29303,4.0,3.0,1.94,Connecticut,6060,3000.0,2021-04-19 00:00:00.000000,625000.0,208.0,2021-04
22,29340,3.0,2.0,0.63,Connecticut,6082,1308.0,2021-10-13 00:00:00.000000,269900.0,206.0,2021-10
23,29363,5.0,2.0,0.11,Massachusetts,1108,1634.0,2021-10-12 00:00:00.000000,269000.0,165.0,2021-10
24,29373,2.0,2.0,0.28,Connecticut,6096,947.0,2021-11-01 00:00:00.000000,247900.0,262.0,2021-11
25,29447,4.0,2.0,0.34,Connecticut,6081,1226.0,2021-05-03 00:00:00.000000,319700.0,261.0,2021-05
26,29454,2.0,2.0,1.0,Massachusetts,1085,1341.0,2022-01-05 00:00:00.000000,237900.0,177.0,2022-01
27,29473,5.0,2.0,0.06,Connecticut,6082,1824.0,2022-01-13 00:00:00.000000,229900.0,126.0,2022-01
28,29493,3.0,3.0,1.07,Connecticut,6078,1630.0,2021-03-31 00:00:00.000000,419900.0,258.0,2021-03
