,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price,month
24268,for_sale,3.0,2.0,0.16,Amherst,Massachusetts,1002.0,1280.0,2021-08-19,275000.0,2021-08
25013,for_sale,4.0,3.0,0.46,South Hadley,Massachusetts,1075.0,2108.0,2021-09-21,400000.0,2021-09
25062,for_sale,4.0,1.0,0.91,Easthampton,Massachusetts,1027.0,1404.0,2021-09-23,349900.0,2021-09
25101,for_sale,3.0,2.0,0.16,Amherst,Massachusetts,1002.0,1280.0,2021-08-19,275000.0,2021-08
25181,for_sale,4.0,2.0,0.13,Holyoke,Massachusetts,1040.0,1529.0,2021-03-22,229000.0,2021-03
27821,for_sale,4.0,3.0,2.34,Coventry,Connecticut,6238.0,3320.0,2021-06-01,579900.0,2021-06
27918,for_sale,3.0,2.0,0.34,Westfield,Massachusetts,1085.0,1424.0,2021-11-10,299413.0,2021-11
27994,for_sale,4.0,1.0,0.91,Easthampton,Massachusetts,1027.0,1404.0,2021-09-23,349900.0,2021-09
28341,for_sale,1.0,1.0,5.46,Cummington,Massachusetts,1026.0,600.0,2021-05-05,144000.0,2021-05
28573,for_sale,4.0,3.0,3.35,Barkhamsted,Connecticut,6063.0,2626.0,2022-01-04,556000.0,2022-01
28682,for_sale,3.0,1.0,0.14,Winchester,Connecticut,6098.0,1170.0,2021-04-29,279000.0,2021-04
28706,for_sale,3.0,3.0,6.92,Barkhamsted,Connecticut,6063.0,2462.0,2022-01-04,493000.0,2022-01
28712,for_sale,3.0,1.0,0.06,Enfield,Connecticut,6082.0,1209.0,2021-08-05,189900.0,2021-08
28889,for_sale,1.0,1.0,5.46,Cummington,Massachusetts,1026.0,600.0,2021-05-05,144000.0,2021-05
28997,for_sale,4.0,1.0,0.91,Easthampton,Massachusetts,1027.0,1404.0,2021-09-23,349900.0,2021-09
29082,for_sale,3.0,1.0,0.62,Granby,Connecticut,6035.0,1040.0,2021-12-29,250000.0,2021-12
29085,for_sale,3.0,3.0,2.17,Granby,Connecticut,6060.0,2457.0,2021-04-05,625000.0,2021-04
29097,for_sale,3.0,3.0,1.0,Enfield,Connecticut,6082.0,2010.0,2022-01-06,495000.0,2022-01
29119,for_sale,4.0,3.0,2.11,Barkhamsted,Connecticut,6063.0,2626.0,2022-01-04,569000.0,2022-01
29133,for_sale,3.0,1.0,0.35,Windsor Locks,Connecticut,6096.0,996.0,2021-12-03,269900.0,2021-12
29280,for_sale,3.0,2.0,0.35,Suffield,Connecticut,6078.0,1864.0,2021-12-01,359800.0,2021-12
29303,for_sale,4.0,3.0,1.94,Granby,Connecticut,6060.0,3000.0,2021-04-19,625000.0,2021-04
29340,for_sale,3.0,2.0,0.63,Enfield,Connecticut,6082.0,1308.0,2021-10-13,269900.0,2021-10
